Time resolution is 1 ps
[20000 ns] after reset state ---> LOCKED (expected LOCKED)
[25000 ns] digit_clean state ----> xxxx
[26000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[36000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[46000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[56000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[66000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[76000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[86000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[96000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[106000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[116000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[126000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[136000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[146000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[156000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[166000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[176000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[186000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[196000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[206000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[216000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[226000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[236000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[246000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[256000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[266000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[276000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[286000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[296000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[306000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[316000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[326000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[336000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[346000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[356000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[366000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[376000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[386000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[396000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[406000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[416000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[426000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[436000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[446000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[456000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[466000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[476000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[486000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[496000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[506000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[516000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[526000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[536000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[546000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[556000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[566000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[576000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[586000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[596000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[606000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[616000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[626000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[636000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[646000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[656000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[666000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[676000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[686000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[696000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[706000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[716000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[726000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[736000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[746000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[756000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[766000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[776000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[786000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[796000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[806000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[816000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[826000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[836000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[846000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
